variant,semantic_family,semantic_regime,state_encoding,size_context_mode,conditions,relevant_property,sharpness,utterance_label,target_listener_mean,target_listener_min,target_listener_max,fallback_rate,n_displays,size_minus_colour_listener
current_context_updating,current,context_updating,canonical,posterior,erdc,first,blurred,D,0.24390779887669276,0.21841940081018116,0.2729500318863387,0.0,27,0.13279668776558165
current_context_updating,current,context_updating,canonical,posterior,erdc,first,blurred,DC,0.1722007809885332,0.14003171751183907,0.2077516957035094,0.0,27,0.13279668776558165
current_context_updating,current,context_updating,canonical,posterior,erdc,first,sharp,C,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,27,0.14069170524692298
current_context_updating,current,context_updating,canonical,posterior,erdc,first,sharp,CD,0.17628075163233367,0.15383715926717947,0.20316606592883124,0.0,27,0.14069170524692298
current_context_updating,current,context_updating,canonical,posterior,erdc,first,sharp,D,0.2518028163580341,0.2304669970827456,0.27256767459938636,0.0,27,0.14069170524692298
current_context_updating,current,context_updating,canonical,posterior,erdc,first,sharp,DC,0.17520374559614282,0.1538371592671795,0.20316606592883127,0.0,27,0.14069170524692298
current_context_updating,current,context_updating,canonical,posterior,zrdc,second,blurred,C,0.44444444444444453,0.44444444444444453,0.44444444444444453,0.0,27,-0.2642086724243723
current_context_updating,current,context_updating,canonical,posterior,zrdc,second,blurred,CD,0.46774322961595344,0.44325157466803294,0.4918745588469205,0.0,27,-0.2642086724243723
current_context_updating,current,context_updating,canonical,posterior,zrdc,second,blurred,D,0.1802357720200722,0.165996576663811,0.1948499335364103,0.0,27,-0.2642086724243723
current_context_updating,current,context_updating,canonical,posterior,zrdc,second,blurred,DC,0.46774321785152967,0.4432515746680329,0.49187424120747936,0.0,27,-0.2642086724243723
current_context_updating,current,context_updating,canonical,posterior,zrdc,second,sharp,C,0.44444444444444453,0.44444444444444453,0.44444444444444453,0.0,27,-0.26044754193110253
current_context_updating,current,context_updating,canonical,posterior,zrdc,second,sharp,CD,0.4741249276711603,0.45902834973206147,0.4918745588469205,0.0,27,-0.26044754193110253
current_context_updating,current,context_updating,canonical,posterior,zrdc,second,sharp,D,0.18399690251334203,0.17500695155646892,0.1948499335364103,0.0,27,-0.26044754193110253
current_context_updating,current,context_updating,canonical,posterior,zrdc,second,sharp,DC,0.47412491590673655,0.45902834973206147,0.49187424120747936,0.0,27,-0.26044754193110253
target_match_context_fixed,target_match,context_fixed,target_match,static,brdc,both,blurred,C,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,27,-0.05136292629247191
target_match_context_fixed,target_match,context_fixed,target_match,static,brdc,both,blurred,CD,0.3701911905767331,0.3299715482164208,0.4129454886057654,0.0,27,-0.05136292629247191
target_match_context_fixed,target_match,context_fixed,target_match,static,brdc,both,blurred,D,0.21530374037419475,0.19359963949881767,0.24175611305366979,0.0,27,-0.05136292629247191
target_match_context_fixed,target_match,context_fixed,target_match,static,brdc,both,blurred,DC,0.3701911905767331,0.32997154821642083,0.41294548860576547,0.0,27,-0.05136292629247191
target_match_context_fixed,target_match,context_fixed,target_match,static,brdc,both,sharp,C,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,27,-0.03180299593232852
target_match_context_fixed,target_match,context_fixed,target_match,static,brdc,both,sharp,CD,0.4103377085333588,0.37844898391873194,0.4405279795335321,0.0,27,-0.03180299593232852
target_match_context_fixed,target_match,context_fixed,target_match,static,brdc,both,sharp,D,0.23486367073433814,0.22108476066411203,0.24818743201856788,0.0,27,-0.03180299593232852
target_match_context_fixed,target_match,context_fixed,target_match,static,brdc,both,sharp,DC,0.4103377085333588,0.37844898391873194,0.4405279795335322,0.0,27,-0.03180299593232852
target_match_context_fixed,target_match,context_fixed,target_match,static,erdc,first,blurred,C,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.0,27,0.05343160840050226
target_match_context_fixed,target_match,context_fixed,target_match,static,erdc,first,blurred,CD,0.272399003785438,0.23734780337308492,0.3200363418250544,0.0,27,0.05343160840050226
target_match_context_fixed,target_match,context_fixed,target_match,static,erdc,first,blurred,D,0.24390779887669276,0.21841940081018116,0.2729500318863387,0.0,27,0.05343160840050226
target_match_context_fixed,target_match,context_fixed,target_match,static,erdc,first,blurred,DC,0.272399003785438,0.23734780337308492,0.3200363418250544,0.0,27,0.05343160840050226
target_match_context_fixed,target_match,context_fixed,target_match,static,erdc,first,sharp,C,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.0,27,0.061326625881843594
target_match_context_fixed,target_match,context_fixed,target_match,static,erdc,first,sharp,CD,0.2826285948420609,0.2605412620478789,0.30051345487093917,0.0,27,0.061326625881843594
target_match_context_fixed,target_match,context_fixed,target_match,static,erdc,first,sharp,D,0.2518028163580341,0.2304669970827456,0.27256767459938636,0.0,27,0.061326625881843594
target_match_context_fixed,target_match,context_fixed,target_match,static,erdc,first,sharp,DC,0.2826285948420609,0.2605412620478789,0.30051345487093917,0.0,27,0.061326625881843594
target_match_context_fixed,target_match,context_fixed,target_match,static,zrdc,second,blurred,C,0.44444444444444453,0.44444444444444453,0.44444444444444453,0.0,27,-0.2642086724243723
target_match_context_fixed,target_match,context_fixed,target_match,static,zrdc,second,blurred,CD,0.46774322961595344,0.44325157466803294,0.4918745588469205,0.0,27,-0.2642086724243723
target_match_context_fixed,target_match,context_fixed,target_match,static,zrdc,second,blurred,D,0.1802357720200722,0.165996576663811,0.1948499335364103,0.0,27,-0.2642086724243723
target_match_context_fixed,target_match,context_fixed,target_match,static,zrdc,second,blurred,DC,0.4677432296159534,0.4432515746680329,0.49187455884692044,0.0,27,-0.2642086724243723
target_match_context_fixed,target_match,context_fixed,target_match,static,zrdc,second,sharp,C,0.44444444444444453,0.44444444444444453,0.44444444444444453,0.0,27,-0.26044754193110253
target_match_context_fixed,target_match,context_fixed,target_match,static,zrdc,second,sharp,CD,0.4741249276711603,0.45902834973206147,0.4918745588469205,0.0,27,-0.26044754193110253
target_match_context_fixed,target_match,context_fixed,target_match,static,zrdc,second,sharp,D,0.18399690251334203,0.17500695155646892,0.1948499335364103,0.0,27,-0.26044754193110253
target_match_context_fixed,target_match,context_fixed,target_match,static,zrdc,second,sharp,DC,0.4741249276711603,0.45902834973206147,0.49187455884692044,0.0,27,-0.26044754193110253
target_match_context_updating,target_match,context_updating,target_match,posterior,brdc,both,blurred,C,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,27,-0.05136292629247191
target_match_context_updating,target_match,context_updating,target_match,posterior,brdc,both,blurred,CD,0.3701911905767331,0.3299715482164208,0.4129454886057654,0.0,27,-0.05136292629247191
target_match_context_updating,target_match,context_updating,target_match,posterior,brdc,both,blurred,D,0.21530374037419475,0.19359963949881767,0.24175611305366979,0.0,27,-0.05136292629247191
target_match_context_updating,target_match,context_updating,target_match,posterior,brdc,both,blurred,DC,0.36782565185624394,0.3253700845918145,0.41294548860576547,0.0,27,-0.05136292629247191
target_match_context_updating,target_match,context_updating,target_match,posterior,brdc,both,sharp,C,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,27,-0.03180299593232852
target_match_context_updating,target_match,context_updating,target_match,posterior,brdc,both,sharp,CD,0.4103377085333588,0.37844898391873194,0.4405279795335321,0.0,27,-0.03180299593232852
target_match_context_updating,target_match,context_updating,target_match,posterior,brdc,both,sharp,D,0.23486367073433814,0.22108476066411203,0.24818743201856788,0.0,27,-0.03180299593232852
target_match_context_updating,target_match,context_updating,target_match,posterior,brdc,both,sharp,DC,0.4095529705889977,0.37844898391873194,0.44166947551148117,0.0,27,-0.03180299593232852
target_match_context_updating,target_match,context_updating,target_match,posterior,erdc,first,blurred,C,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.0,27,0.05343160840050226
target_match_context_updating,target_match,context_updating,target_match,posterior,erdc,first,blurred,CD,0.272399003785438,0.23734780337308492,0.3200363418250544,0.0,27,0.05343160840050226
target_match_context_updating,target_match,context_updating,target_match,posterior,erdc,first,blurred,D,0.24390779887669276,0.21841940081018116,0.2729500318863387,0.0,27,0.05343160840050226
target_match_context_updating,target_match,context_updating,target_match,posterior,erdc,first,blurred,DC,0.272399003785438,0.23734780337308492,0.3200363418250544,0.0,27,0.05343160840050226
target_match_context_updating,target_match,context_updating,target_match,posterior,erdc,first,sharp,C,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.0,27,0.061326625881843594
target_match_context_updating,target_match,context_updating,target_match,posterior,erdc,first,sharp,CD,0.2826285948420609,0.2605412620478789,0.30051345487093917,0.0,27,0.061326625881843594
target_match_context_updating,target_match,context_updating,target_match,posterior,erdc,first,sharp,D,0.2518028163580341,0.2304669970827456,0.27256767459938636,0.0,27,0.061326625881843594
target_match_context_updating,target_match,context_updating,target_match,posterior,erdc,first,sharp,DC,0.2826285948420609,0.2605412620478789,0.30051345487093917,0.0,27,0.061326625881843594
target_match_context_updating,target_match,context_updating,target_match,posterior,zrdc,second,blurred,C,0.44444444444444453,0.44444444444444453,0.44444444444444453,0.0,27,-0.2642086724243723
target_match_context_updating,target_match,context_updating,target_match,posterior,zrdc,second,blurred,CD,0.46774322961595344,0.44325157466803294,0.4918745588469205,0.0,27,-0.2642086724243723
target_match_context_updating,target_match,context_updating,target_match,posterior,zrdc,second,blurred,D,0.1802357720200722,0.165996576663811,0.1948499335364103,0.0,27,-0.2642086724243723
target_match_context_updating,target_match,context_updating,target_match,posterior,zrdc,second,blurred,DC,0.46774321785152967,0.4432515746680329,0.49187424120747936,0.0,27,-0.2642086724243723
target_match_context_updating,target_match,context_updating,target_match,posterior,zrdc,second,sharp,C,0.44444444444444453,0.44444444444444453,0.44444444444444453,0.0,27,-0.26044754193110253
target_match_context_updating,target_match,context_updating,target_match,posterior,zrdc,second,sharp,CD,0.4741249276711603,0.45902834973206147,0.4918745588469205,0.0,27,-0.26044754193110253
target_match_context_updating,target_match,context_updating,target_match,posterior,zrdc,second,sharp,D,0.18399690251334203,0.17500695155646892,0.1948499335364103,0.0,27,-0.26044754193110253
target_match_context_updating,target_match,context_updating,target_match,posterior,zrdc,second,sharp,DC,0.47412491590673655,0.45902834973206147,0.49187424120747936,0.0,27,-0.26044754193110253
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,brdc,both,blurred,C,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,27,-0.05136292629247191
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,brdc,both,blurred,CD,0.3701911905767331,0.3299715482164208,0.4129454886057654,0.0,27,-0.05136292629247191
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,brdc,both,blurred,D,0.21530374037419475,0.19359963949881767,0.24175611305366979,0.0,27,-0.05136292629247191
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,brdc,both,blurred,DC,0.36782565185624394,0.3253700845918145,0.41294548860576547,0.0,27,-0.05136292629247191
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,brdc,both,sharp,C,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,27,-0.03180299593232852
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,brdc,both,sharp,CD,0.4103377085333588,0.37844898391873194,0.4405279795335321,0.0,27,-0.03180299593232852
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,brdc,both,sharp,D,0.23486367073433814,0.22108476066411203,0.24818743201856788,0.0,27,-0.03180299593232852
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,brdc,both,sharp,DC,0.4095529705889977,0.37844898391873194,0.44166947551148117,0.0,27,-0.03180299593232852
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,erdc,first,blurred,C,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.0,27,0.05343160840050226
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,erdc,first,blurred,CD,0.272399003785438,0.23734780337308492,0.3200363418250544,0.0,27,0.05343160840050226
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,erdc,first,blurred,D,0.24390779887669276,0.21841940081018116,0.2729500318863387,0.0,27,0.05343160840050226
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,erdc,first,blurred,DC,0.2699740815429548,0.23734780337308492,0.3200363418250544,0.0,27,0.05343160840050226
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,erdc,first,sharp,C,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.0,27,0.061326625881843594
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,erdc,first,sharp,CD,0.2826285948420609,0.2605412620478789,0.30051345487093917,0.0,27,0.061326625881843594
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,erdc,first,sharp,D,0.2518028163580341,0.2304669970827456,0.27256767459938636,0.0,27,0.061326625881843594
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,erdc,first,sharp,DC,0.27854672104692735,0.25395566515578055,0.30051345487093917,0.0,27,0.061326625881843594
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,zrdc,second,blurred,C,0.44444444444444453,0.44444444444444453,0.44444444444444453,0.0,27,-0.2642086724243723
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,zrdc,second,blurred,CD,0.46774322961595344,0.44325157466803294,0.4918745588469205,0.0,27,-0.2642086724243723
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,zrdc,second,blurred,D,0.1802357720200722,0.165996576663811,0.1948499335364103,0.0,27,-0.2642086724243723
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,zrdc,second,blurred,DC,0.4678275765292479,0.4435318428901542,0.4917934990093591,0.0,27,-0.2642086724243723
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,zrdc,second,sharp,C,0.44444444444444453,0.44444444444444453,0.44444444444444453,0.0,27,-0.26044754193110253
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,zrdc,second,sharp,CD,0.4741249276711603,0.45902834973206147,0.4918745588469205,0.0,27,-0.26044754193110253
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,zrdc,second,sharp,D,0.18399690251334203,0.17500695155646892,0.1948499335364103,0.0,27,-0.26044754193110253
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,zrdc,second,sharp,DC,0.4742654326351093,0.4595142426203399,0.4917934990093591,0.0,27,-0.26044754193110253
