relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,model,condition,signed_residual,abs_residual,human_mean_covered_by_model_ci,model_mean_covered_by_human_ci
both,blurred,0,D,0.0,0.0,0.0,566,0.014381625441696112,0.00530035335689046,0.026501766784452298,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.014381625441696112,0.014381625441696112,False,False
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.06950530035335689,0.04946996466431095,0.09187279151943463,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.0006007067137809158,0.0006007067137809158,True,True
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.22838869257950528,0.19341872791519435,0.26501766784452296,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,-0.08079858657243816,0.08079858657243816,False,False
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.09872084805653711,0.07327738515901061,0.127208480565371,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.013915194346289753,0.013915194346289753,True,True
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.023314487632508832,0.012367491166077738,0.037102473498233215,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,-0.006720848056537103,0.006720848056537103,True,True
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.06262544169611307,0.04240282685512368,0.08480565371024736,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.053791519434628975,0.053791519434628975,False,False
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.006587947823160605,0.0017667844522968198,0.014134275618374558,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,-0.0022459744383234942,0.0022459744383234942,True,True
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.0793286219081272,0.05653710247349823,0.10424028268551237,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.028091872791519423,0.028091872791519423,False,False
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.2608268551236749,0.22084805653710246,0.30212014134275617,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,-0.009491166077738478,0.009491166077738478,True,True
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.02680565371024735,0.01320671378091873,0.04063604240282685,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.02327208480565371,0.02327208480565371,False,False
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.07758657243816255,0.05653710247349823,0.10070671378091872,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,-0.03902120141342755,0.03902120141342755,False,False
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566,0.003157041070497596,0.0017667844522968198,0.007067137809187279,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.001390256618200776,0.001390256618200776,True,True
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.004134681775719914,0.0017667844522968198,0.01060070671378092,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,-0.0011656715811705458,0.0011656715811705458,True,True
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.04195759717314487,0.026501766784452298,0.06007067137809187,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.0013215547703180203,0.0013215547703180203,True,True
both,blurred,14,FCD,0.0,0.0,0.0,566,0.004751905855068831,0.0017667844522968198,0.01060070671378092,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.004751905855068831,0.004751905855068831,False,False
both,sharp,0,D,0.0,0.0,0.0,503,0.019244532803180912,0.007952286282306162,0.033797216699801194,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | sharp,0.019244532803180912,0.019244532803180912,False,False
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503,0.09165407554671968,0.06759443339960239,0.11928429423459244,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | sharp,-0.10516500994035784,0.10516500994035784,False,False
both,sharp,2,DCF,0.3121272365805169,0.27236580516898606,0.3518886679920477,503,0.3019681908548708,0.25740556660039765,0.3489562624254473,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | sharp,-0.010159045725646076,0.010159045725646076,True,True
both,sharp,3,DF,0.1073558648111332,0.08151093439363817,0.13518886679920478,503,0.1307435387673956,0.10139165009940358,0.1600894632206759,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | sharp,0.023387673956262414,0.023387673956262414,True,True
both,sharp,4,DFC,0.02982107355864811,0.015904572564612324,0.04572564612326044,503,0.030656063618290257,0.017892644135188866,0.04572564612326044,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | sharp,0.0008349900596421461,0.0008349900596421461,True,True
both,sharp,5,C,0.0,0.0,0.0,503,0.05118886679920477,0.03180914512922465,0.07157057654075547,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | sharp,0.05118886679920477,0.05118886679920477,False,False
both,sharp,6,CD,0.011928429423459244,0.003976143141153081,0.02186878727634195,503,0.0060973253352455455,0.0019880715705765406,0.011928429423459244,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | sharp,-0.005831104088213699,0.005831104088213699,True,True
both,sharp,7,CDF,0.027833001988071572,0.013916500994035786,0.0437375745526839,503,0.07564214711729622,0.0536779324055666,0.10044731610337967,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | sharp,0.04780914512922465,0.04780914512922465,False,False
both,sharp,8,CF,0.20278330019880716,0.16898608349900596,0.24055666003976142,503,0.1673041749502982,0.1312127236580517,0.20183896620278327,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | sharp,-0.035479125248508964,0.035479125248508964,False,False
both,sharp,9,CFD,0.003976143141153081,0.0,0.009940357852882704,503,0.01757455268389662,0.005964214711729622,0.03180914512922465,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | sharp,0.01359840954274354,0.01359840954274354,False,False
both,sharp,10,F,0.08349900596421471,0.061630218687872766,0.1073558648111332,503,0.0650337972166998,0.04468190854870776,0.08851888667992043,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | sharp,-0.018465208747514908,0.018465208747514908,True,True
both,sharp,11,FD,0.0,0.0,0.0,503,0.003596151622123216,0.0019880715705765406,0.007952286282306162,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | sharp,0.003596151622123216,0.003596151622123216,False,False
both,sharp,12,FDC,0.0,0.0,0.0,503,0.004974717902629882,0.0019880715705765406,0.011928429423459244,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | sharp,0.004974717902629882,0.004974717902629882,False,False
both,sharp,13,FC,0.02186878727634195,0.009940357852882704,0.03578528827037773,503,0.03329224652087475,0.017892644135188866,0.04970178926441352,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | sharp,0.0114234592445328,0.0114234592445328,True,True
